V_ERAMS_MATRIX_SAMPLE_ANALYSIS.MAT_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.SAMP_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_SIZE,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_UNIT,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_PROC_NUM,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.DURATION,V_ERAMS_LOCATION.LOC_NUM,V_ERAMS_LOCATION.CITY_NAME,V_ERAMS_LOCATION.STATE_ABBR,V_ERAMS_RESULTS_ANALYTE.ANALYTE_ID,V_ERAMS_RESULTS_ANALYTE.RESULT_AMOUNT,V_ERAMS_RESULTS_ANALYTE.CSU,V_ERAMS_RESULTS_ANALYTE.MDC,V_ERAMS_RESULTS_ANALYTE.RESULT_UNIT,V_ERAMS_RESULTS_ANALYTE.RESULT_DATE,V_ERAMS_RESULTS_ANALYTE.ANA_TYPE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE_TIME_UNIT,V_ERAMS_RESULTS_ANALYTE.ANALYTE_NAME
PRECIPITATION,A809304,1,L,118,500,27,HARRISBURG,PA,RA226,,,110,PCI/L,2008-11-15,R,1600,Y,Radium-226
PRECIPITATION,A809307,1,L,118,500,191,WILMINGTON,NC,K40,,,44,PCI/L,2008-11-15,R,1277000000,Y,Potassium-40
PRECIPITATION,A806380,3,L,118,300,340,IOWA CITY,IA,RA226,,,62,PCI/L,2008-07-15,R,1600,Y,Radium-226
PRECIPITATION,A806387,1,L,118,1000,155,PHOENIX,AZ,RA228,,,34,PCI/L,2008-07-15,R,5.75,Y,Radium-228
PRECIPITATION,A806388,.01,L,122,100,3844,OAK RIDGE,TN,H3,70,45,150,PCI/L,2008-07-15,R,12.312,Y,Tritium
PRECIPITATION,A900830,1,L,118,1000,80,DENVER,CO,RA228,,,35,PCI/L,2008-12-15,R,5.75,Y,Radium-228
PRECIPITATION,A900833,1,L,118,1000,110,PORTLAND,OR,CO60,,,7.6,PCI/L,2008-12-15,R,5.271,Y,Cobalt-60
PRECIPITATION,A900833,1,L,118,1000,110,PORTLAND,OR,K40,,,71,PCI/L,2008-12-15,R,1277000000,Y,Potassium-40
PRECIPITATION,A809309,1,L,118,500,9,JACKSONVILLE,FL,BE7,48,18,,PCI/L,2008-11-15,R,53.44,D,Beryllium-7
PRECIPITATION,A809312,1,L,119,100,3997,MONTGOMERY,AL,BETA,.38,.17,.53,PCI/L,2009-01-09,R,,,Gross Beta
PRECIPITATION,A809313,.01,L,122,100,141,KNOXVILLE,TN,H3,23,39,130,PCI/L,2008-11-15,R,12.312,Y,Tritium
PRECIPITATION,A809316,1,L,118,1000,3929,WELCH,MN,RA228,,,27,PCI/L,2008-11-15,R,5.75,Y,Radium-228
PRECIPITATION,A809317,3,L,118,300,1662,ST. PAUL,MN,K40,,,23,PCI/L,2008-11-15,R,1277000000,Y,Potassium-40
PRECIPITATION,A808027,1,L,119,100,351,OLYMPIA,WA,BETA,5.69,.42,.73,PCI/L,2008-11-24,R,,,Gross Beta
PRECIPITATION,A808029,3,L,118,300,3839,OAK RIDGE,TN,RA226,,,62,PCI/L,2008-09-15,R,1600,Y,Radium-226
PRECIPITATION,A806878,1,L,118,1000,155,PHOENIX,AZ,RA228,,,30,PCI/L,2008-08-15,R,5.75,Y,Radium-228
PRECIPITATION,A806880,3,L,118,300,351,OLYMPIA,WA,BE7,22.7,8.9,,PCI/L,2008-08-15,R,53.44,D,Beryllium-7
PRECIPITATION,A808723,3,L,118,300,33,BOSTON,MA,K40,15.7,6.4,,PCI/L,2008-10-15,R,1277000000,Y,Potassium-40
PRECIPITATION,A808723,.5,L,119,100,33,BOSTON,MA,BETA,.24,.28,.85,PCI/L,2009-03-05,R,,,Gross Beta
PRECIPITATION,A808724,3,L,118,300,181,ALBANY,NY,CO60,,,2.1,PCI/L,2008-10-15,R,5.271,Y,Cobalt-60
PRECIPITATION,A900837,3,L,118,300,3844,OAK RIDGE,TN,CO60,,,1.8,PCI/L,2008-12-15,R,5.271,Y,Cobalt-60
PRECIPITATION,A902269,1,L,118,1000,27,HARRISBURG,PA,CO60,,,4.9,PCI/L,2009-02-15,R,5.271,Y,Cobalt-60
PRECIPITATION,A902269,1,L,118,1000,27,HARRISBURG,PA,CS137,,,4.7,PCI/L,2009-02-15,R,30.17,Y,Cesium-137
PRECIPITATION,A902269,1,L,118,1000,27,HARRISBURG,PA,RA226,,,70,PCI/L,2009-02-15,R,1600,Y,Radium-226
PRECIPITATION,A902271,1,L,118,500,369,YAPHANK,NY,CO60,,,5.1,PCI/L,2009-02-15,R,5.271,Y,Cobalt-60
PRECIPITATION,A809321,3,L,118,300,2414,KANSAS CITY,KS,BE7,33,10,,PCI/L,2008-11-15,R,53.44,D,Beryllium-7
PRECIPITATION,A809324,1,L,118,1000,370,RICHMOND,CA,CS137,,,4.4,PCI/L,2008-11-15,R,30.17,Y,Cesium-137
PRECIPITATION,A809325,1,L,118,1000,39,IDAHO FALLS,ID,CO60,,,5.4,PCI/L,2008-11-15,R,5.271,Y,Cobalt-60
PRECIPITATION,A809325,1,L,118,1000,39,IDAHO FALLS,ID,RA226,,,68,PCI/L,2008-11-15,R,1600,Y,Radium-226
PRECIPITATION,A907001,.5,L,119,100,2414,KANSAS CITY,KS,BETA,.4,.3,.9,PCI/L,2009-12-02,R,,,Gross Beta
PRECIPITATION,A907002,.5,L,119,100,80,DENVER,CO,BETA,1.25,.34,.95,PCI/L,2009-12-02,R,,,Gross Beta
PRECIPITATION,A907907,3,L,118,400.2,369,YAPHANK,NY,K40,,,20,PCI/L,2009-08-15,R,1277000000,Y,Potassium-40
PRECIPITATION,A907908,3,L,118,300,191,WILMINGTON,NC,K40,,,21,PCI/L,2009-08-15,R,1277000000,Y,Potassium-40
