V_ERAMS_MATRIX_SAMPLE_ANALYSIS.MAT_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.SAMP_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_SIZE,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_UNIT,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_PROC_NUM,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.DURATION,V_ERAMS_LOCATION.LOC_NUM,V_ERAMS_LOCATION.CITY_NAME,V_ERAMS_LOCATION.STATE_ABBR,V_ERAMS_RESULTS_ANALYTE.ANALYTE_ID,V_ERAMS_RESULTS_ANALYTE.RESULT_AMOUNT,V_ERAMS_RESULTS_ANALYTE.CSU,V_ERAMS_RESULTS_ANALYTE.MDC,V_ERAMS_RESULTS_ANALYTE.RESULT_UNIT,V_ERAMS_RESULTS_ANALYTE.RESULT_DATE,V_ERAMS_RESULTS_ANALYTE.ANA_TYPE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE_TIME_UNIT,V_ERAMS_RESULTS_ANALYTE.ANALYTE_NAME
PRECIPITATION,8905271,2,L,22,1000,188,LAWRENCE,MA,U235,.0043,.0031,,PCI/L,1990-02-12,R,703800000,Y,Uranium-235
PRECIPITATION,8905278,2,L,22,1000,25,NEW YORK CITY,NY,U238,.0034,.0034,,PCI/L,1990-02-13,R,4468000000,Y,Uranium-238
PRECIPITATION,8905282,2,L,16,1000,369,YAPHANK,NY,PU239,-.004961,.0029,,PCI/L,1990-02-10,R,24131,Y,Plutonium-239
PRECIPITATION,8908920,3.5,L,9,50,51,LITTLE ROCK,AR,CE144,42,29,,PCI/L,1990-01-02,R,284.3,D,Cerium-144
PRECIPITATION,9000283,3.5,L,9,50,56,NIAGARA FALLS,NY,TH232,-5.688,7.5,,PCI/L,1990-01-18,R,14020000000,Y,Thorium-232
PRECIPITATION,9000286,3.5,L,9,50,101,CHARLOTTE,NC,CE144,54,29,,PCI/L,1990-01-22,R,284.3,D,Cerium-144
PRECIPITATION,9000288,3.5,L,9,50,145,COLUMBIA,SC,K40,6,39,,PCI/L,1990-01-18,R,1277000000,Y,Potassium-40
PRECIPITATION,9000288,3.5,L,9,50,145,COLUMBIA,SC,ZN65,7.1,7,,PCI/L,1990-01-18,R,244.4,D,Zinc-65
PRECIPITATION,9000289,1,L,9,50,180,NASHVILLE,TN,K40,-109.87,81,,PCI/L,1990-01-17,R,1277000000,Y,Potassium-40
PRECIPITATION,9000289,1,L,9,50,180,NASHVILLE,TN,TH232,4,16,,PCI/L,1990-01-17,R,14020000000,Y,Thorium-232
PRECIPITATION,9000289,1,L,6,50,180,NASHVILLE,TN,BETA,10.15,.52,,PCI/L,1990-01-11,R,,,Gross Beta
PRECIPITATION,9000290,3.5,L,9,50,7,MIAMI,FL,TH232,-.17414,7.5,,PCI/L,1990-01-19,R,14020000000,Y,Thorium-232
PRECIPITATION,8908888,3.5,L,9,50,24,HARTFORD,CT,ZN65,-5.7454,7,,PCI/L,1990-01-12,R,244.4,D,Zinc-65
PRECIPITATION,8908891,3.5,L,9,50,193,CONCORD,NH,RU106,-.579,20,,PCI/L,1990-01-11,R,368.2,Y,Ruthenium-106
PRECIPITATION,8908892,3.5,L,9,50,55,TRENTON,NJ,ZN65,-2.965,7,,PCI/L,1990-01-11,R,244.4,D,Zinc-65
PRECIPITATION,8908895,3.5,L,9,50,56,NIAGARA FALLS,NY,ZR/NB95,-.94571,3.4,,PCI/L,1990-01-11,R,,,Zirconium/Niobium-95
PRECIPITATION,8908896,3.5,L,9,50,92,WILMINGTON,DE,ZN65,4.8,7,,PCI/L,1990-01-10,R,244.4,D,Zinc-65
PRECIPITATION,8908897,3.5,L,9,50,116,SYRACUSE,NY,CE144,16,29,,PCI/L,1990-01-10,R,284.3,D,Cerium-144
PRECIPITATION,8908897,3.5,L,9,50,116,SYRACUSE,NY,RU106,-41.039,20,,PCI/L,1990-01-10,R,368.2,Y,Ruthenium-106
PRECIPITATION,8908897,3.5,L,9,50,116,SYRACUSE,NY,TH232,.9,7.5,,PCI/L,1990-01-10,R,14020000000,Y,Thorium-232
PRECIPITATION,8908899,3.5,L,9,50,191,WILMINGTON,NC,ZN65,-1.7135,7.1,,PCI/L,1990-01-10,R,244.4,D,Zinc-65
PRECIPITATION,8908900,3.5,L,9,50,102,CHARLESTON,WV,ZR/NB95,-.35194,3.5,,PCI/L,1990-01-10,R,,,Zirconium/Niobium-95
PRECIPITATION,8908903,1,L,9,50,49,PITTSBURGH,PA,ZN65,4,15,,PCI/L,1990-01-09,R,244.4,D,Zinc-65
PRECIPITATION,9000292,3.5,L,9,50,1,MONTGOMERY,AL,TH232,-1.278,7.5,,PCI/L,1990-01-18,R,14020000000,Y,Thorium-232
PRECIPITATION,9000294,3.5,L,9,50,111,CHICAGO,IL,TH232,-5.9402,7.4,,PCI/L,1990-01-19,R,14020000000,Y,Thorium-232
PRECIPITATION,9000295,1,L,6,50,199,MADISON,WI,BETA,.52,.22,,PCI/L,1990-01-12,R,,,Gross Beta
