V_ERAMS_MATRIX_SAMPLE_ANALYSIS.MAT_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.SAMP_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_SIZE,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_UNIT,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_PROC_NUM,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.DURATION,V_ERAMS_LOCATION.LOC_NUM,V_ERAMS_LOCATION.CITY_NAME,V_ERAMS_LOCATION.STATE_ABBR,V_ERAMS_RESULTS_ANALYTE.ANALYTE_ID,V_ERAMS_RESULTS_ANALYTE.RESULT_AMOUNT,V_ERAMS_RESULTS_ANALYTE.CSU,V_ERAMS_RESULTS_ANALYTE.MDC,V_ERAMS_RESULTS_ANALYTE.RESULT_UNIT,V_ERAMS_RESULTS_ANALYTE.RESULT_DATE,V_ERAMS_RESULTS_ANALYTE.ANA_TYPE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE_TIME_UNIT,V_ERAMS_RESULTS_ANALYTE.ANALYTE_NAME
PASTEURIZED MILK,A503432,1,L,118,1000,109,LOUISVILLE,KY,I131,,,10,PCI/L,2005-07-11,R,8.0233,D,Iodine-131
PASTEURIZED MILK,A503432,1,L,118,1000,109,LOUISVILLE,KY,RA228,,,34,PCI/L,2005-07-11,R,5.75,Y,Radium-228
PASTEURIZED MILK,A503434,1,L,118,1000,10,ATLANTA,GA,RA228,,,33,PCI/L,2005-07-13,R,5.75,Y,Radium-228
PASTEURIZED MILK,A503434,1,L,129,100,10,ATLANTA,GA,SR90,.05,.33,1.1,PCI/L,2005-07-13,R,28.6,Y,Strontium-90
PASTEURIZED MILK,A504495,1,L,118,1000,46,CINCINNATI,OH,RA226,,,72,PCI/L,2005-09-06,R,1600,Y,Radium-226
PASTEURIZED MILK,A602917,1,L,118,1000,312,MONTPELIER,VT,CO60,,,11,PCI/L,2006-06-09,R,5.271,Y,Cobalt-60
PASTEURIZED MILK,A506282,1,L,118,1000,33,BOSTON,MA,CS137,,,7.3,PCI/L,2005-12-12,R,30.17,Y,Cesium-137
PASTEURIZED MILK,A502237,1,L,118,1000,108,PORTLAND,ME,PB210,,,500,PCI/L,2005-04-27,R,22.26,Y,Lead-210
PASTEURIZED MILK,A502237,1,L,118,1000,108,PORTLAND,ME,RA228,,,26,PCI/L,2005-04-27,R,5.75,Y,Radium-228
PASTEURIZED MILK,A601994,1,L,118,500,141,KNOXVILLE,TN,BA140,,,36,PCI/L,2006-04-10,R,12.789,D,Barium-140
PASTEURIZED MILK,A602031,1,L,118,500,43,LAS VEGAS,NV,K40,1360,53,,PCI/L,2006-04-10,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,A504228,1,L,118,500,132,SACRAMENTO,CA,BA140,,,36,PCI/L,2005-08-18,R,12.789,D,Barium-140
PASTEURIZED MILK,A504228,1,L,118,500,132,SACRAMENTO,CA,RA228,,,40,PCI/L,2005-08-18,R,5.75,Y,Radium-228
PASTEURIZED MILK,A505240,1,L,118,1000,116,SYRACUSE,NY,BA140,,,17,PCI/L,2005-10-19,R,12.789,D,Barium-140
PASTEURIZED MILK,A506082,1,L,118,1000,110,PORTLAND,OR,I131,,,9.9,PCI/L,2005-12-05,R,8.0233,D,Iodine-131
PASTEURIZED MILK,A603145,1,L,118,1000,33,BOSTON,MA,CO60,,,5.3,PCI/L,2006-06-19,R,5.271,Y,Cobalt-60
PASTEURIZED MILK,A603147,1,L,118,1000,237,TACOMA,WA,PB210,,,510,PCI/L,2006-06-21,R,22.26,Y,Lead-210
PASTEURIZED MILK,A603147,1,L,118,1000,237,TACOMA,WA,RA228,,,33,PCI/L,2006-06-21,R,5.75,Y,Radium-228
PASTEURIZED MILK,A603197,1,L,118,500,41,DETROIT,MI,RA226,,,100,PCI/L,2006-06-26,R,1600,Y,Radium-226
PASTEURIZED MILK,A603197,1,L,118,500,41,DETROIT,MI,U235,,,32,PCI/L,2006-06-26,R,703800000,Y,Uranium-235
PASTEURIZED MILK,A503283,1,L,118,1000,47,JEFFERSON CITY,MO,RA226,,,96,PCI/L,2005-07-06,R,1600,Y,Radium-226
PASTEURIZED MILK,A503284,1,L,118,1000,77,TAMPA,FL,BA140,,,33,PCI/L,2005-07-06,R,12.789,D,Barium-140
PASTEURIZED MILK,A601701,1,L,118,1000,237,TACOMA,WA,I131,,,29,PCI/L,2006-03-21,R,8.0233,D,Iodine-131
PASTEURIZED MILK,A506315,1,L,118,1000,312,MONTPELIER,VT,BA140,,,81,PCI/L,2005-12-13,R,12.789,D,Barium-140
PASTEURIZED MILK,A506315,1,L,118,1000,312,MONTPELIER,VT,RA226,,,82,PCI/L,2005-12-13,R,1600,Y,Radium-226
PASTEURIZED MILK,A501985,1,L,118,1000,71,CHATTANOOGA,TN,CS137,,,5,PCI/L,2005-04-18,R,30.17,Y,Cesium-137
PASTEURIZED MILK,A501985,1,L,118,1000,71,CHATTANOOGA,TN,K40,1370,47,,PCI/L,2005-04-18,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,A603393,1,L,118,500,137,MEMPHIS,TN,CS137,,,5.7,PCI/L,2006-07-10,R,30.17,Y,Cesium-137
PASTEURIZED MILK,A603393,1,L,118,500,137,MEMPHIS,TN,K40,1310,52,,PCI/L,2006-07-10,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,A603411,1,L,118,500,125,SPOKANE,WA,U235,,,32,PCI/L,2006-07-06,R,703800000,Y,Uranium-235
PASTEURIZED MILK,A603412,1,L,118,500,48,LOS ANGELES,CA,RA226,,,95,PCI/L,2006-07-07,R,1600,Y,Radium-226
PASTEURIZED MILK,A603413,1,L,118,500,119,DES MOINES,IA,RA228,,,37,PCI/L,2006-07-10,R,5.75,Y,Radium-228
PASTEURIZED MILK,A603439,1,L,118,500,102,CHARLESTON,WV,CS137,,,5.5,PCI/L,2006-07-12,R,30.17,Y,Cesium-137
PASTEURIZED MILK,A603439,1,L,118,500,102,CHARLESTON,WV,I131,,,7.1,PCI/L,2006-07-12,R,8.0233,D,Iodine-131
PASTEURIZED MILK,A603439,1,L,118,500,102,CHARLESTON,WV,PB210,,,550,PCI/L,2006-07-12,R,22.26,Y,Lead-210
PASTEURIZED MILK,A603439,1,L,118,500,102,CHARLESTON,WV,RA228,,,39,PCI/L,2006-07-12,R,5.75,Y,Radium-228
PASTEURIZED MILK,A601510,1,L,118,1000,155,PHOENIX,AZ,K40,1330,50,,PCI/L,2006-03-08,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,A701593,1,L,118,1000,132,SACRAMENTO,CA,CO60,,,12,PCI/L,2007-03-08,R,5.271,Y,Cobalt-60
PASTEURIZED MILK,A701595,1,L,118,1000,33,BOSTON,MA,I131,,,27,PCI/L,2007-03-14,R,8.0233,D,Iodine-131
PASTEURIZED MILK,A701595,1,L,118,1000,33,BOSTON,MA,RA226,,,60,PCI/L,2007-03-14,R,1600,Y,Radium-226
PASTEURIZED MILK,A701595,1,L,118,1000,33,BOSTON,MA,RA228,,,34,PCI/L,2007-03-14,R,5.75,Y,Radium-228
PASTEURIZED MILK,A600222,1,L,118,1000,114,PHILADELPHIA,PA,PB210,,,380,PCI/L,2006-01-04,R,22.26,Y,Lead-210
PASTEURIZED MILK,A600224,1,L,118,1000,105,AUSTIN,TX,I131,,,9.8,PCI/L,2006-01-10,R,8.0233,D,Iodine-131
PASTEURIZED MILK,A600224,1,L,118,1000,105,AUSTIN,TX,PB210,,,130,PCI/L,2006-01-10,R,22.26,Y,Lead-210
PASTEURIZED MILK,A600241,1,L,118,1000,71,CHATTANOOGA,TN,BA140,,,37,PCI/L,2006-01-05,R,12.789,D,Barium-140
PASTEURIZED MILK,A700365,1,L,118,1000,77,TAMPA,FL,RA226,,,53,PCI/L,2007-01-11,R,1600,Y,Radium-226
PASTEURIZED MILK,A700366,1,L,118,1000,43,LAS VEGAS,NV,RA226,,,80,PCI/L,2007-01-16,R,1600,Y,Radium-226
PASTEURIZED MILK,A604479,1,L,118,1000,75,HONOLULU,HI,K40,1390,85,,PCI/L,2006-08-28,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,A604480,1,L,118,1000,237,TACOMA,WA,K40,1360,85,,PCI/L,2006-09-13,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,A600512,1,L,118,1000,92,WILMINGTON,DE,PB210,,,620,PCI/L,2006-01-11,R,22.26,Y,Lead-210
PASTEURIZED MILK,A600512,1,L,118,1000,92,WILMINGTON,DE,RA228,,,39,PCI/L,2006-01-11,R,5.75,Y,Radium-228
PASTEURIZED MILK,A600513,1,L,118,1000,24,HARTFORD,CT,K40,1310,55,,PCI/L,2006-01-17,R,1277000000,Y,Potassium-40
