V_ERAMS_MATRIX_SAMPLE_ANALYSIS.MAT_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.SAMP_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_SIZE,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_UNIT,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_PROC_NUM,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.DURATION,V_ERAMS_LOCATION.LOC_NUM,V_ERAMS_LOCATION.CITY_NAME,V_ERAMS_LOCATION.STATE_ABBR,V_ERAMS_RESULTS_ANALYTE.ANALYTE_ID,V_ERAMS_RESULTS_ANALYTE.RESULT_AMOUNT,V_ERAMS_RESULTS_ANALYTE.CSU,V_ERAMS_RESULTS_ANALYTE.MDC,V_ERAMS_RESULTS_ANALYTE.RESULT_UNIT,V_ERAMS_RESULTS_ANALYTE.RESULT_DATE,V_ERAMS_RESULTS_ANALYTE.ANA_TYPE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE_TIME_UNIT,V_ERAMS_RESULTS_ANALYTE.ANALYTE_NAME
PASTEURIZED MILK,9000382,3.5,L,9,50,130,OMAHA,NE,K,1.466,.063,,G/L,1990-01-12,E,,,Potassium
PASTEURIZED MILK,9000383,3.5,L,9,50,155,PHOENIX,AZ,CS137,4.7,4.5,,PCI/L,1990-01-11,R,30.17,Y,Cesium-137
PASTEURIZED MILK,9000134,3.5,L,9,50,132,SACRAMENTO,CA,K,1.392,.062,,G/L,1990-01-02,E,,,Potassium
PASTEURIZED MILK,9000135,3.5,L,9,50,51,LITTLE ROCK,AR,CS137,5.5,4.5,,PCI/L,1990-01-02,R,30.17,Y,Cesium-137
PASTEURIZED MILK,9000135,3.5,L,9,50,51,LITTLE ROCK,AR,K,1.508,.063,,G/L,1990-01-03,E,,,Potassium
PASTEURIZED MILK,9000136,3.5,L,9,50,142,ST. LOUIS,MO,BA140,3.6,7.1,,PCI/L,1990-01-02,R,12.789,D,Barium-140
PASTEURIZED MILK,9000136,3.5,L,9,50,142,ST. LOUIS,MO,I131,.6,7.1,,PCI/L,1990-01-02,R,8.0233,D,Iodine-131
PASTEURIZED MILK,9000139,3.5,L,9,50,118,HELENA,MT,I131,3.4,7.1,,PCI/L,1990-01-02,R,8.0233,D,Iodine-131
PASTEURIZED MILK,9000146,3.5,L,9,50,131,SAN FRANCISCO,CA,BA140,-4.2948,7.1,,PCI/L,1990-01-04,R,12.789,D,Barium-140
PASTEURIZED MILK,9000245,3.5,L,9,50,125,SPOKANE,WA,CS137,2.5,4.5,,PCI/L,1990-01-08,R,30.17,Y,Cesium-137
PASTEURIZED MILK,9000246,3.5,L,9,50,97,BALTIMORE,MD,K,1.516,.063,,G/L,1990-01-05,E,,,Potassium
PASTEURIZED MILK,9000249,3.5,L,9,50,10,ATLANTA,GA,I131,-1.9641,5,,PCI/L,1990-01-08,R,8.0233,D,Iodine-131
PASTEURIZED MILK,9000068,3.5,L,9,50,108,PORTLAND,ME,I131,9.9,4.3,,PCI/L,1990-01-02,R,8.0233,D,Iodine-131
PASTEURIZED MILK,9000069,3.5,L,9,50,42,SEATTLE,WA,I131,8.5,4.6,,PCI/L,1990-01-02,R,8.0233,D,Iodine-131
PASTEURIZED MILK,9003461,3.5,L,9,50,24,HARTFORD,CT,CS137,6.3,3.3,,PCI/L,1990-06-05,R,30.17,Y,Cesium-137
