V_ERAMS_MATRIX_SAMPLE_ANALYSIS.MAT_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.SAMP_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_SIZE,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_UNIT,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_PROC_NUM,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.DURATION,V_ERAMS_LOCATION.LOC_NUM,V_ERAMS_LOCATION.CITY_NAME,V_ERAMS_LOCATION.STATE_ABBR,V_ERAMS_RESULTS_ANALYTE.ANALYTE_ID,V_ERAMS_RESULTS_ANALYTE.RESULT_AMOUNT,V_ERAMS_RESULTS_ANALYTE.CSU,V_ERAMS_RESULTS_ANALYTE.MDC,V_ERAMS_RESULTS_ANALYTE.RESULT_UNIT,V_ERAMS_RESULTS_ANALYTE.RESULT_DATE,V_ERAMS_RESULTS_ANALYTE.ANA_TYPE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE_TIME_UNIT,V_ERAMS_RESULTS_ANALYTE.ANALYTE_NAME
PASTEURIZED MILK,B003480,1,L,118,1000,429,RENO,NV,CO60,,,7.1,PCI/L,2010-04-13,R,5.271,Y,Cobalt-60
PASTEURIZED MILK,B000766,1,L,118,1000,46,CINCINNATI,OH,CO60,,,5.8,PCI/L,2010-01-19,R,5.271,Y,Cobalt-60
PASTEURIZED MILK,B000766,1,L,118,1000,46,CINCINNATI,OH,CS137,,,4.6,PCI/L,2010-01-19,R,30.17,Y,Cesium-137
PASTEURIZED MILK,B000766,1,L,118,1000,46,CINCINNATI,OH,RA226,,,90,PCI/L,2010-01-19,R,1600,Y,Radium-226
PASTEURIZED MILK,B002576,1,L,118,1000,237,TACOMA,WA,K40,1410,85,,PCI/L,2010-03-27,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,B001899,1,L,118,1000,155,PHOENIX,AZ,CO60,,,5.2,PCI/L,2010-03-03,R,5.271,Y,Cobalt-60
PASTEURIZED MILK,B003432,1,L,118,1000,24,HARTFORD,CT,K40,1440,87,,PCI/L,2010-04-19,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,B003779,1,L,118,1000,41,DETROIT,MI,RA228,,,28,PCI/L,2010-04-27,R,5.75,Y,Radium-228
PASTEURIZED MILK,B003780,1,L,118,1000,116,SYRACUSE,NY,CO60,,,8.2,PCI/L,2010-04-28,R,5.271,Y,Cobalt-60
PASTEURIZED MILK,B001212,1,L,118,1000,116,SYRACUSE,NY,CS137,,,4.5,PCI/L,2010-02-09,R,30.17,Y,Cesium-137
PASTEURIZED MILK,B001212,1,L,118,1000,116,SYRACUSE,NY,K40,1340,83,,PCI/L,2010-02-09,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,B003595,1,L,118,1000,49,PITTSBURGH,PA,CO60,,,5.9,PCI/L,2010-04-19,R,5.271,Y,Cobalt-60
PASTEURIZED MILK,B003595,1,L,118,1000,49,PITTSBURGH,PA,K40,1230,78,,PCI/L,2010-04-19,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,B003596,1,L,118,1000,3822,SAN ANTONIO,TX,CO60,,,6.6,PCI/L,2010-04-26,R,5.271,Y,Cobalt-60
PASTEURIZED MILK,B003610,1,L,118,1000,159,WICHITA,KS,K40,1270,80,,PCI/L,2010-04-26,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,B001585,1,L,118,1000,92,WILMINGTON,DE,K40,1300,80,,PCI/L,2010-02-08,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,B001586,1,L,118,1000,24,HARTFORD,CT,RA226,,,60,PCI/L,2010-02-19,R,1600,Y,Radium-226
PASTEURIZED MILK,B001625,1,L,118,1000,115,BUFFALO,NY,RA226,,,80,PCI/L,2010-02-22,R,1600,Y,Radium-226
PASTEURIZED MILK,B001626,1,L,118,1000,125,SPOKANE,WA,CO60,,,5.1,PCI/L,2010-02-23,R,5.271,Y,Cobalt-60
PASTEURIZED MILK,B001382,1,L,118,1000,119,DES MOINES,IA,K40,1180,79,,PCI/L,2010-02-16,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,B002700,1,L,118,1000,283,PLANT CITY,FL,K40,1370,84,,PCI/L,2010-02-17,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,B000554,1,L,118,1000,159,WICHITA,KS,BA140,,,47,PCI/L,2010-01-20,R,12.789,D,Barium-140
PASTEURIZED MILK,B000554,1,L,118,1000,159,WICHITA,KS,K40,1390,86,,PCI/L,2010-01-20,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,B000554,1,L,118,1000,159,WICHITA,KS,RA228,,,31,PCI/L,2010-01-20,R,5.75,Y,Radium-228
PASTEURIZED MILK,B000555,1,L,118,1000,105,AUSTIN,TX,CS137,,,5.4,PCI/L,2010-01-19,R,30.17,Y,Cesium-137
PASTEURIZED MILK,B000595,1,L,118,1000,109,LOUISVILLE,KY,CS137,,,4.2,PCI/L,2010-01-20,R,30.17,Y,Cesium-137
PASTEURIZED MILK,B000595,1,L,118,1000,109,LOUISVILLE,KY,I131,,,23,PCI/L,2010-01-20,R,8.0233,D,Iodine-131
PASTEURIZED MILK,B000953,1,L,118,1000,71,CHATTANOOGA,TN,CS137,,,5.3,PCI/L,2010-01-28,R,30.17,Y,Cesium-137
PASTEURIZED MILK,B002787,1,L,118,1000,106,DALLAS,TX,K40,1310,82,,PCI/L,2010-03-30,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,B002811,1,L,118,1000,110,PORTLAND,OR,RA228,,,38,PCI/L,2010-04-05,R,5.75,Y,Radium-228
PASTEURIZED MILK,B002812,1,L,118,1000,109,LOUISVILLE,KY,CS137,,,6.1,PCI/L,2010-04-05,R,30.17,Y,Cesium-137
PASTEURIZED MILK,B002838,1,L,118,1000,4077,FORT SMITH,AR,TL208,3,1.8,,PCI/L,2010-04-05,R,3.053,M,Thallium-208
PASTEURIZED MILK,B006382,1,L,118,1000,3822,SAN ANTONIO,TX,CS137,,,4.8,PCI/L,2010-07-26,R,30.17,Y,Cesium-137
PASTEURIZED MILK,B006433,.5,L,129,100,47,JEFFERSON CITY,MO,SR90,.83,.61,2.1,PCI/L,2010-07-27,R,28.6,Y,Strontium-90
PASTEURIZED MILK,B010607,1,L,118,1000,113,CLEVELAND,OH,K40,1430,86,,PCI/L,2010-12-15,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,B005991,1,L,118,1000,71,CHATTANOOGA,TN,K40,1330,83,,PCI/L,2010-07-15,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,B005992,1,L,118,1000,109,LOUISVILLE,KY,CS137,,,5.3,PCI/L,2010-07-14,R,30.17,Y,Cesium-137
PASTEURIZED MILK,B005992,1,L,118,1000,109,LOUISVILLE,KY,K40,1380,88,,PCI/L,2010-07-14,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,B007648,1,L,118,1000,119,DES MOINES,IA,CS137,,,3.9,PCI/L,2010-09-08,R,30.17,Y,Cesium-137
PASTEURIZED MILK,B008207,1,L,118,1000,42,SEATTLE,WA,TL208,2.4,1.8,,PCI/L,2010-09-23,R,3.053,M,Thallium-208
PASTEURIZED MILK,B008208,1,L,118,1000,106,DALLAS,TX,CO60,,,6.2,PCI/L,2010-09-22,R,5.271,Y,Cobalt-60
PASTEURIZED MILK,B008208,1,L,118,1000,106,DALLAS,TX,RA228,,,36,PCI/L,2010-09-22,R,5.75,Y,Radium-228
PASTEURIZED MILK,B007691,1,L,118,1000,155,PHOENIX,AZ,CS137,,,5.8,PCI/L,2010-09-08,R,30.17,Y,Cesium-137
PASTEURIZED MILK,B007691,1,L,118,1000,155,PHOENIX,AZ,RA228,,,39,PCI/L,2010-09-08,R,5.75,Y,Radium-228
PASTEURIZED MILK,B010396,1,L,118,1000,46,CINCINNATI,OH,CO60,,,4.5,PCI/L,2010-12-06,R,5.271,Y,Cobalt-60
PASTEURIZED MILK,B007057,1,L,118,1000,159,WICHITA,KS,CO60,,,5.2,PCI/L,2010-08-18,R,5.271,Y,Cobalt-60
PASTEURIZED MILK,B004517,1,L,118,1000,92,WILMINGTON,DE,CO60,,,6.3,PCI/L,2010-05-26,R,5.271,Y,Cobalt-60
PASTEURIZED MILK,B009027,1,L,118,1000,131,SAN FRANCISCO,CA,K40,1400,86,,PCI/L,2010-10-18,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,B009028,1,L,118,1000,116,SYRACUSE,NY,CS137,,,5.5,PCI/L,2010-10-22,R,30.17,Y,Cesium-137
PASTEURIZED MILK,B009028,1,L,118,1000,116,SYRACUSE,NY,K40,1320,85,,PCI/L,2010-10-22,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,B006123,1,L,118,1000,113,CLEVELAND,OH,RA228,,,35,PCI/L,2010-07-14,R,5.75,Y,Radium-228
PASTEURIZED MILK,B006124,1,L,118,1000,97,BALTIMORE,MD,CS137,,,5.6,PCI/L,2010-07-14,R,30.17,Y,Cesium-137
PASTEURIZED MILK,B006124,1,L,118,1000,97,BALTIMORE,MD,K40,1330,85,,PCI/L,2010-07-14,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,B008243,1,L,118,1000,179,FAYETTEVILLE,AR,K40,1310,82,,PCI/L,2010-09-28,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,B006763,1,L,118,1000,141,KNOXVILLE,TN,RA228,,,34,PCI/L,2010-08-10,R,5.75,Y,Radium-228
PASTEURIZED MILK,B003996,1,L,118,1000,115,BUFFALO,NY,CO60,,,6.2,PCI/L,2010-05-05,R,5.271,Y,Cobalt-60
PASTEURIZED MILK,B003996,1,L,118,1000,115,BUFFALO,NY,K40,1400,86,,PCI/L,2010-05-05,R,1277000000,Y,Potassium-40
PASTEURIZED MILK,B004026,1,L,118,1000,46,CINCINNATI,OH,RA226,,,54,PCI/L,2010-05-10,R,1600,Y,Radium-226
PASTEURIZED MILK,B006842,1,L,118,1000,110,PORTLAND,OR,RA226,,,53,PCI/L,2010-08-09,R,1600,Y,Radium-226
PASTEURIZED MILK,B000385,1,L,118,1000,55,TRENTON,NJ,K40,1210,80,,PCI/L,2010-01-11,R,1277000000,Y,Potassium-40
