V_ERAMS_MATRIX_SAMPLE_ANALYSIS.MAT_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.SAMP_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_SIZE,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_UNIT,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_PROC_NUM,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.DURATION,V_ERAMS_LOCATION.LOC_NUM,V_ERAMS_LOCATION.CITY_NAME,V_ERAMS_LOCATION.STATE_ABBR,V_ERAMS_RESULTS_ANALYTE.ANALYTE_ID,V_ERAMS_RESULTS_ANALYTE.RESULT_AMOUNT,V_ERAMS_RESULTS_ANALYTE.CSU,V_ERAMS_RESULTS_ANALYTE.MDC,V_ERAMS_RESULTS_ANALYTE.RESULT_UNIT,V_ERAMS_RESULTS_ANALYTE.RESULT_DATE,V_ERAMS_RESULTS_ANALYTE.ANA_TYPE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE_TIME_UNIT,V_ERAMS_RESULTS_ANALYTE.ANALYTE_NAME
DRINKING WATER,7901245,,,10,,81,GENOA,WI,H3,300,100,,PCI/L,1979-05-22,R,12.312,Y,Tritium
DRINKING WATER,7901003,,,10,,41,DETROIT,MI,H3,600,100,,PCI/L,1979-04-26,R,12.312,Y,Tritium
DRINKING WATER,7800907,,,16,1000,56,NIAGARA FALLS,NY,PU238,.012,.0066,,PCI/L,1978-07-01,R,87.75,Y,Plutonium-238
DRINKING WATER,7800908,,,6,,116,SYRACUSE,NY,BETA,1.5,.53,,PCI/L,1978-07-01,R,,,Gross Beta
DRINKING WATER,7800910,,,22,1000,146,COLUMBUS,OH,U238,.032,.0056,,PCI/L,1978-07-01,R,4468000000,Y,Uranium-238
DRINKING WATER,7800911,,,20,,70,E. LIVERPOOL,OH,SR90,.41,.15,,PCI/L,1978-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,7800915,,,16,1000,110,PORTLAND,OR,PU239,.032,.0046,,PCI/L,1978-07-01,R,24131,Y,Plutonium-239
DRINKING WATER,7800921,,,22,1000,57,BARNWELL,SC,U234,.014,.0029,,PCI/L,1978-07-01,R,245500,Y,Uranium-234
DRINKING WATER,7800927,,,20,,141,KNOXVILLE,TN,SR90,.16,.1,,PCI/L,1978-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,7901472,,,10,100,51,LITTLE ROCK,AR,H3,200,100,,PCI/L,1979-07-02,R,12.312,Y,Tritium
DRINKING WATER,7800927,,,22,1000,141,KNOXVILLE,TN,U234,.034,.0046,,PCI/L,1978-07-01,R,245500,Y,Uranium-234
DRINKING WATER,7800928,,,20,,105,AUSTIN,TX,SR90,.28,.3,,PCI/L,1978-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,7800928,,,6,,105,AUSTIN,TX,BETA,2.7,.58,,PCI/L,1978-07-01,R,,,Gross Beta
DRINKING WATER,7800929,,,3,,198,DOSWELL,VA,ALPHA,0,0,,PCI/L,1978-07-01,R,,,Gross Alpha
DRINKING WATER,7800932,,,20,,28,RICHLAND,WA,SR90,.16,.15,,PCI/L,1978-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,7800932,,,3,,28,RICHLAND,WA,ALPHA,0,0,,PCI/L,1978-07-01,R,,,Gross Alpha
DRINKING WATER,7900790,,,10,,190,RED WING,MN,H3,300,100,,PCI/L,1979-04-05,R,12.312,Y,Tritium
DRINKING WATER,7900793,,,10,,23,WASHINGTON,DC,H3,500,100,,PCI/L,1979-04-04,R,12.312,Y,Tritium
DRINKING WATER,7900269,,,10,100,26,CONOWINGO,MD,H3,300,100,,PCI/L,1979-01-10,R,12.312,Y,Tritium
DRINKING WATER,7901506,,,11,1000,146,COLUMBUS,OH,I131,-.05,.044,,PCI/L,1979-07-05,R,8.0233,D,Iodine-131
DRINKING WATER,7900803,,,17,100,97,BALTIMORE,MD,RA226,.1,.0095,,PCI/L,1979-04-02,R,1600,Y,Radium-226
DRINKING WATER,7900806,,,10,,139,BERKELEY,CA,H3,400,100,,PCI/L,1979-04-03,R,12.312,Y,Tritium
DRINKING WATER,7901140,,,10,,57,BARNWELL,SC,H3,300,100,,PCI/L,1979-04-26,R,12.312,Y,Tritium
DRINKING WATER,7800933,,,3,,42,SEATTLE,WA,ALPHA,0,0,,PCI/L,1978-07-01,R,,,Gross Alpha
DRINKING WATER,7900003,,,11,1000,158,LYNCHBURG,VA,I131,-.13,.081,,PCI/L,1978-12-28,R,8.0233,D,Iodine-131
DRINKING WATER,7900005,,,10,100,185,CEDAR RAPIDS,IA,H3,400,100,,PCI/L,1978-12-28,R,12.312,Y,Tritium
DRINKING WATER,7900311,,,10,100,29,COLUMBIA,PA,H3,400,100,,PCI/L,1979-01-18,R,12.312,Y,Tritium
DRINKING WATER,7900317,,,10,100,99,SENECA,SC,H3,400,100,,PCI/L,1979-01-23,R,12.312,Y,Tritium
DRINKING WATER,7900323,,,11,1000,141,KNOXVILLE,TN,I131,-.1,7,,PCI/L,1979-01-23,R,8.0233,D,Iodine-131
DRINKING WATER,7900058,,,10,100,48,LOS ANGELES,CA,H3,500,100,,PCI/L,1979-01-02,R,12.312,Y,Tritium
DRINKING WATER,7900058,,,11,1000,48,LOS ANGELES,CA,I131,-.43,.056,,PCI/L,1979-01-02,R,8.0233,D,Iodine-131
DRINKING WATER,7901518,,,17,100,97,BALTIMORE,MD,RA226,0,0,,PCI/L,1979-07-02,R,1600,Y,Radium-226
DRINKING WATER,7901518,,,17,100,97,BALTIMORE,MD,RA226,.1,.012,,PCI/L,1979-07-02,R,1600,Y,Radium-226
DRINKING WATER,7901553,,,10,100,194,WARETOWN,NJ,H3,200,100,,PCI/L,1979-07-03,R,12.312,Y,Tritium
DRINKING WATER,7900929,,,11,1000,71,CHATTANOOGA,TN,I131,.06,.077,,PCI/L,1979-04-12,R,8.0233,D,Iodine-131
DRINKING WATER,7901200,,,10,,194,WARETOWN,NJ,H3,300,100,,PCI/L,1979-05-04,R,12.312,Y,Tritium
DRINKING WATER,7800859,,,20,,37,FAIRBANKS,AK,SR90,.02,.05,,PCI/L,1978-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,7800861,,,16,1000,1,MONTGOMERY,AL,PU238,.004,.0042,,PCI/L,1978-07-01,R,87.75,Y,Plutonium-238
DRINKING WATER,7800861,,,22,1000,1,MONTGOMERY,AL,U238,.006,.0019,,PCI/L,1978-07-01,R,4468000000,Y,Uranium-238
DRINKING WATER,7800864,,,22,1000,139,BERKELEY,CA,U235,.002,.0009,,PCI/L,1978-07-01,R,703800000,Y,Uranium-235
DRINKING WATER,7800868,,,6,,24,HARTFORD,CT,BETA,.84,.4,,PCI/L,1978-07-01,R,,,Gross Beta
DRINKING WATER,7800872,,,16,1000,7,MIAMI,FL,PU239,.01,.0031,,PCI/L,1978-07-01,R,24131,Y,Plutonium-239
DRINKING WATER,7800872,,,22,1000,7,MIAMI,FL,U234,.109,.013,,PCI/L,1978-07-01,R,245500,Y,Uranium-234
DRINKING WATER,7900129,,,10,100,39,IDAHO FALLS,ID,H3,500,100,,PCI/L,1979-01-04,R,12.312,Y,Tritium
DRINKING WATER,7900962,,,10,,183,ANCON,PC,H3,200,100,,PCI/L,1979-04-24,R,12.312,Y,Tritium
DRINKING WATER,7900983,,,10,,11,SAVANNAH,GA,H3,1800,100,,PCI/L,1979-04-20,R,12.312,Y,Tritium
DRINKING WATER,7800874,,,20,,184,BAXLEY,GA,SR90,-.06,.05,,PCI/L,1978-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,7800874,,,3,,184,BAXLEY,GA,ALPHA,0,0,,PCI/L,1978-07-01,R,,,Gross Alpha
DRINKING WATER,7800876,,,6,,75,HONOLULU,HI,BETA,1.74,.6,,PCI/L,1978-07-01,R,,,Gross Beta
DRINKING WATER,7800877,,,20,,185,CEDAR RAPIDS,IA,SR90,.09,.2,,PCI/L,1978-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,7800879,,,3,,39,IDAHO FALLS,ID,ALPHA,0,0,,PCI/L,1978-07-01,R,,,Gross Alpha
DRINKING WATER,7800879,,,22,1000,39,IDAHO FALLS,ID,U235,.03,.0047,,PCI/L,1978-07-01,R,703800000,Y,Uranium-235
DRINKING WATER,7800883,,,20,,45,NEW ORLEANS,LA,SR90,.22,.15,,PCI/L,1978-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,7800883,,,3,,45,NEW ORLEANS,LA,ALPHA,0,0,,PCI/L,1978-07-01,R,,,Gross Alpha
DRINKING WATER,7800884,,,20,,188,LAWRENCE,MA,SR90,.44,.2,,PCI/L,1978-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,7800887,,,20,,26,CONOWINGO,MD,SR90,.32,.35,,PCI/L,1978-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,7800889,,,20,,41,DETROIT,MI,SR90,.91,.2,,PCI/L,1978-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,7800890,,,3,,76,GRAND RAPIDS,MI,ALPHA,0,0,,PCI/L,1978-07-01,R,,,Gross Alpha
DRINKING WATER,7800892,,,20,,190,RED WING,MN,SR90,.38,.2,,PCI/L,1978-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,7800897,,,6,,191,WILMINGTON,NC,BETA,3.2,.59,,PCI/L,1978-07-01,R,,,Gross Beta
DRINKING WATER,7800898,,,6,,58,BISMARCK,ND,BETA,3.9,.66,,PCI/L,1978-07-01,R,,,Gross Beta
DRINKING WATER,7800900,,,3,,193,CONCORD,NH,ALPHA,0,0,,PCI/L,1978-07-01,R,,,Gross Alpha
DRINKING WATER,7800901,,,22,1000,55,TRENTON,NJ,U235,.002,.001,,PCI/L,1978-07-01,R,703800000,Y,Uranium-235
DRINKING WATER,7800902,,,6,,194,WARETOWN,NJ,BETA,3.3,.51,,PCI/L,1978-07-01,R,,,Gross Beta
DRINKING WATER,7800903,,,16,1000,149,SANTA FE,NM,PU239,.007,.002,,PCI/L,1978-07-01,R,24131,Y,Plutonium-239
DRINKING WATER,7800903,,,22,1000,149,SANTA FE,NM,U234,3.53,.16,,PCI/L,1978-07-01,R,245500,Y,Uranium-234
DRINKING WATER,7800515,,,10,,75,HONOLULU,HI,H3,300,100,,PCI/L,1978-10-25,R,12.312,Y,Tritium
DRINKING WATER,8000501,,,10,100,75,HONOLULU,HI,H3,300,100,,PCI/L,1980-01-27,R,12.312,Y,Tritium
DRINKING WATER,8001131,,,6,50,43,LAS VEGAS,NV,BETA,6.5,.75,,PCI/L,1979-07-01,R,,,Gross Beta
DRINKING WATER,8001131,,,20,50,43,LAS VEGAS,NV,SR90,.9,.2,,PCI/L,1979-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,8001131,4,L,22,1000,43,LAS VEGAS,NV,U234,2.8,.15,,PCI/L,1980-04-28,R,245500,Y,Uranium-234
DRINKING WATER,8001132,3.5,L,9,50,181,ALBANY,NY,K40,5,37,,PCI/L,1980-05-05,R,1277000000,Y,Potassium-40
DRINKING WATER,8001132,3.5,L,9,50,181,ALBANY,NY,TH232,-.19291,7.1,,PCI/L,1980-05-05,R,14020000000,Y,Thorium-232
DRINKING WATER,8001132,,,6,50,181,ALBANY,NY,BETA,.75,.38,,PCI/L,1979-07-01,R,,,Gross Beta
DRINKING WATER,8001133,3.5,L,9,50,25,NEW YORK CITY,NY,CS137,-3.1906,3.9,,PCI/L,1979-07-01,R,30.17,Y,Cesium-137
DRINKING WATER,8001134,3.5,L,9,50,56,NIAGARA FALLS,NY,CO60,-.93012,4.7,,PCI/L,1979-07-01,R,5.271,Y,Cobalt-60
DRINKING WATER,7901670,,,11,1000,5,DOTHAN,AL,I131,-.07,.06,,PCI/L,1979-07-11,R,8.0233,D,Iodine-131
DRINKING WATER,7901671,,,10,100,213,SCOTTSBORO,AL,H3,500,100,,PCI/L,1979-07-11,R,12.312,Y,Tritium
DRINKING WATER,8000024,,,10,100,146,COLUMBUS,OH,H3,200,100,,PCI/L,1980-01-03,R,12.312,Y,Tritium
DRINKING WATER,8000025,,,10,100,121,NORFOLK,VA,H3,300,100,,PCI/L,1980-01-02,R,12.312,Y,Tritium
DRINKING WATER,8000026,,,17,1000,97,BALTIMORE,MD,RA226,.15,.0083,,PCI/L,1980-01-03,R,1600,Y,Radium-226
DRINKING WATER,8001134,4,L,22,1000,56,NIAGARA FALLS,NY,U234,.0744,.0071,,PCI/L,1980-05-14,R,245500,Y,Uranium-234
DRINKING WATER,8001135,3.5,L,9,50,116,SYRACUSE,NY,ZN65,-2.4702,8.2,,PCI/L,1980-05-05,R,244.4,D,Zinc-65
DRINKING WATER,8001136,4,L,22,1000,46,CINCINNATI,OH,U234,.058,.0076,,PCI/L,1980-05-14,R,245500,Y,Uranium-234
DRINKING WATER,8001136,4,L,22,1000,46,CINCINNATI,OH,U235,.0163,.0038,,PCI/L,1980-05-14,R,703800000,Y,Uranium-235
DRINKING WATER,8001137,3.5,L,9,50,146,COLUMBUS,OH,RU106,-10.553,19,,PCI/L,1980-05-05,R,368.2,Y,Ruthenium-106
DRINKING WATER,8001137,4,L,22,1000,146,COLUMBUS,OH,U235,.016,.0035,,PCI/L,1980-04-29,R,703800000,Y,Uranium-235
DRINKING WATER,8001138,3.5,L,9,50,70,E. LIVERPOOL,OH,CO60,-.88361,4.8,,PCI/L,1979-07-01,R,5.271,Y,Cobalt-60
DRINKING WATER,8001139,3.5,L,9,50,195,PAINESVILLE,OH,RU106,-9.1035,19,,PCI/L,1980-05-05,R,368.2,Y,Ruthenium-106
DRINKING WATER,8001139,,,6,50,195,PAINESVILLE,OH,BETA,3,.54,,PCI/L,1979-07-01,R,,,Gross Beta
DRINKING WATER,8001139,,,20,50,195,PAINESVILLE,OH,SR90,1,.2,,PCI/L,1979-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,8001048,,,11,1000,146,COLUMBUS,OH,I131,.14,.043,,PCI/L,1980-04-15,R,8.0233,D,Iodine-131
DRINKING WATER,8000228,,,10,100,116,SYRACUSE,NY,H3,300,100,,PCI/L,1980-01-15,R,12.312,Y,Tritium
DRINKING WATER,8000231,,,10,100,145,COLUMBIA,SC,H3,400,100,,PCI/L,1980-01-16,R,12.312,Y,Tritium
DRINKING WATER,8001099,3.5,L,9,50,77,TAMPA,FL,CO60,-3.8465,4.6,,PCI/L,1979-07-01,R,5.271,Y,Cobalt-60
DRINKING WATER,8001099,,,3,50,77,TAMPA,FL,ALPHA,.43,.43,,PCI/L,1979-07-01,R,,,Gross Alpha
DRINKING WATER,8001100,1,L,9,50,184,BAXLEY,GA,ZN65,7,19,,PCI/L,1980-04-29,R,244.4,D,Zinc-65
DRINKING WATER,8001102,3.5,L,9,50,75,HONOLULU,HI,TH232,-4.3266,7.1,,PCI/L,1980-04-30,R,14020000000,Y,Thorium-232
DRINKING WATER,8001106,3.5,L,9,50,111,CHICAGO,IL,CS137,4.2,4,,PCI/L,1979-07-01,R,30.17,Y,Cesium-137
DRINKING WATER,8001106,,,3,50,111,CHICAGO,IL,ALPHA,0,0,,PCI/L,1979-07-01,R,,,Gross Alpha
DRINKING WATER,7902492,,,10,100,193,CONCORD,NH,H3,300,100,,PCI/L,1979-10-12,R,12.312,Y,Tritium
DRINKING WATER,7902494,,,10,100,76,GRAND RAPIDS,MI,H3,400,100,,PCI/L,1979-10-12,R,12.312,Y,Tritium
DRINKING WATER,7902501,,,11,1000,28,RICHLAND,WA,I131,.15,.084,,PCI/L,1979-10-09,R,8.0233,D,Iodine-131
DRINKING WATER,7902505,,,11,1000,141,KNOXVILLE,TN,I131,.21,.059,,PCI/L,1979-10-17,R,8.0233,D,Iodine-131
