V_ERAMS_MATRIX_SAMPLE_ANALYSIS.MAT_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.SAMP_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_SIZE,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_UNIT,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_PROC_NUM,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.DURATION,V_ERAMS_LOCATION.LOC_NUM,V_ERAMS_LOCATION.CITY_NAME,V_ERAMS_LOCATION.STATE_ABBR,V_ERAMS_RESULTS_ANALYTE.ANALYTE_ID,V_ERAMS_RESULTS_ANALYTE.RESULT_AMOUNT,V_ERAMS_RESULTS_ANALYTE.CSU,V_ERAMS_RESULTS_ANALYTE.MDC,V_ERAMS_RESULTS_ANALYTE.RESULT_UNIT,V_ERAMS_RESULTS_ANALYTE.RESULT_DATE,V_ERAMS_RESULTS_ANALYTE.ANA_TYPE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE_TIME_UNIT,V_ERAMS_RESULTS_ANALYTE.ANALYTE_NAME
DRINKING WATER,A305545,.01,L,122,100,49,PITTSBURGH,PA,H3,99,38,120,PCI/L,2003-11-14,R,12.312,Y,Tritium
DRINKING WATER,A400457,3,L,118,300,2748,OAK RIDGE,TN,CS137,,,2,PCI/L,2003-07-01,R,30.17,Y,Cesium-137
DRINKING WATER,A400458,2,L,130,100,2748,OAK RIDGE,TN,SR90,.35,.14,.45,PCI/L,2003-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,A401715,.01,L,122,100,196,TOLEDO,OH,H3,148,40,130,PCI/L,2004-04-12,R,12.312,Y,Tritium
DRINKING WATER,A406057,.01,L,122,100,3979,PHILADELPHIA,PA,H3,18,43,150,PCI/L,2004-12-15,R,12.312,Y,Tritium
DRINKING WATER,A400463,.01,L,122,100,116,SYRACUSE,NY,H3,84,40,130,PCI/L,2004-01-20,R,12.312,Y,Tritium
DRINKING WATER,A400494,.01,L,122,100,76,GRAND RAPIDS,MI,H3,85,40,130,PCI/L,2004-01-16,R,12.312,Y,Tritium
DRINKING WATER,A501127,.01,L,122,100,26,CONOWINGO,MD,H3,-53.778,41,150,PCI/L,2005-03-01,R,12.312,Y,Tritium
DRINKING WATER,A501128,.01,L,122,100,27,HARRISBURG,PA,H3,-53.857,40,140,PCI/L,2005-03-02,R,12.312,Y,Tritium
DRINKING WATER,A403397,.01,L,122,100,181,ALBANY,NY,H3,-75.649,40,140,PCI/L,2004-07-06,R,12.312,Y,Tritium
DRINKING WATER,A403427,2,L,124,1000,140,MORRIS,IL,I131,.112,.076,.25,PCI/L,2004-07-12,R,8.0233,D,Iodine-131
DRINKING WATER,A403428,.01,L,122,100,49,PITTSBURGH,PA,H3,173,39,120,PCI/L,2004-07-14,R,12.312,Y,Tritium
DRINKING WATER,A405692,.01,L,122,100,26,CONOWINGO,MD,H3,-82.925,37,140,PCI/L,2004-11-16,R,12.312,Y,Tritium
DRINKING WATER,A405696,.01,L,122,100,27,HARRISBURG,PA,H3,-37.61,40,140,PCI/L,2004-11-18,R,12.312,Y,Tritium
DRINKING WATER,A500899,2,L,124,1000,11,SAVANNAH,GA,I131,0,.069,.23,PCI/L,2005-02-17,R,8.0233,D,Iodine-131
DRINKING WATER,A405480,.01,L,122,100,186,BOISE,ID,H3,-31.648,39,140,PCI/L,2004-11-04,R,12.312,Y,Tritium
DRINKING WATER,A405791,.01,L,122,100,42,SEATTLE,WA,H3,14,40,140,PCI/L,2004-11-23,R,12.312,Y,Tritium
DRINKING WATER,A500546,2,L,124,1000,105,AUSTIN,TX,I131,.053,.063,.21,PCI/L,2005-01-27,R,8.0233,D,Iodine-131
DRINKING WATER,A400313,.01,L,122,100,141,KNOXVILLE,TN,H3,-6.4756,37,130,PCI/L,2004-01-14,R,12.312,Y,Tritium
