V_ERAMS_MATRIX_SAMPLE_ANALYSIS.MAT_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.SAMP_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_SIZE,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_UNIT,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_PROC_NUM,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.DURATION,V_ERAMS_LOCATION.LOC_NUM,V_ERAMS_LOCATION.CITY_NAME,V_ERAMS_LOCATION.STATE_ABBR,V_ERAMS_RESULTS_ANALYTE.ANALYTE_ID,V_ERAMS_RESULTS_ANALYTE.RESULT_AMOUNT,V_ERAMS_RESULTS_ANALYTE.CSU,V_ERAMS_RESULTS_ANALYTE.MDC,V_ERAMS_RESULTS_ANALYTE.RESULT_UNIT,V_ERAMS_RESULTS_ANALYTE.RESULT_DATE,V_ERAMS_RESULTS_ANALYTE.ANA_TYPE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE_TIME_UNIT,V_ERAMS_RESULTS_ANALYTE.ANALYTE_NAME
SURFACE WATER,9901861,1,L,9,1000,206,SOUTHPORT,NC,RA226,,,90,PCI/L,1999-04-08,R,1600,Y,Radium-226
SURFACE WATER,9901861,1,L,9,1000,206,SOUTHPORT,NC,CS137,,,5.3,PCI/L,1999-04-08,R,30.17,Y,Cesium-137
SURFACE WATER,9708353,.01,L,10,100,206,SOUTHPORT,NC,H3,5,41,140,PCI/L,1997-10-09,R,12.312,Y,Tritium
SURFACE WATER,9602333,1,L,9,1000,206,SOUTHPORT,NC,I131,,,17,PCI/L,1996-04-11,R,8.0233,D,Iodine-131
SURFACE WATER,9606221,.01,L,10,100,206,SOUTHPORT,NC,H3,32,35,120,PCI/L,1996-10-15,R,12.312,Y,Tritium
SURFACE WATER,9402774,1,L,9,500,206,SOUTHPORT,NC,I131,,,16,PCI/L,1994-04-14,R,8.0233,D,Iodine-131
SURFACE WATER,9302685,1,L,9,1000,206,SOUTHPORT,NC,I131,,,7.3,PCI/L,1993-04-01,R,8.0233,D,Iodine-131
SURFACE WATER,9102968,1,L,9,360,206,SOUTHPORT,NC,CS137,,,9.9,PCI/L,1991-04-10,R,30.17,Y,Cesium-137
SURFACE WATER,9803139,1,L,9,1000,88,NEWPORT NEWS,VA,K40,98,22,,PCI/L,1998-04-24,R,1277000000,Y,Potassium-40
SURFACE WATER,9803139,.01,L,10,100,88,NEWPORT NEWS,VA,H3,87,43,140,PCI/L,1998-04-24,R,12.312,Y,Tritium
SURFACE WATER,9702556,1,L,9,1000,88,NEWPORT NEWS,VA,CS137,,,5,PCI/L,1997-04-03,R,30.17,Y,Cesium-137
SURFACE WATER,9702556,1,L,9,1000,88,NEWPORT NEWS,VA,BA140,,,27,PCI/L,1997-04-03,R,12.789,D,Barium-140
SURFACE WATER,9503265,1,L,9,1000,88,NEWPORT NEWS,VA,K40,119,22,,PCI/L,1995-04-07,R,1277000000,Y,Potassium-40
SURFACE WATER,9403066,10,ML,10,100,88,NEWPORT NEWS,VA,H3,100,50,,PCI/L,1994-04-15,R,12.312,Y,Tritium
SURFACE WATER,9206964,10,ML,10,100,88,NEWPORT NEWS,VA,H3,100,100,,PCI/L,1992-07-22,R,12.312,Y,Tritium
SURFACE WATER,9003012,1,L,9,50,88,NEWPORT NEWS,VA,CE144,-52.749,56,,PCI/L,1990-07-18,R,284.3,D,Cerium-144
SURFACE WATER,9902025,1,L,9,1000,87,PLATTEVILLE,CO,CS137,,,4.9,PCI/L,1999-04-14,R,30.17,Y,Cesium-137
SURFACE WATER,9802099,1,L,9,1000,87,PLATTEVILLE,CO,RA228,,,19,PCI/L,1998-04-14,R,5.75,Y,Radium-228
SURFACE WATER,9802099,1,L,9,1000,87,PLATTEVILLE,CO,RA226,,,92,PCI/L,1998-04-14,R,1600,Y,Radium-226
SURFACE WATER,9802099,1,L,9,1000,87,PLATTEVILLE,CO,K40,,,57,PCI/L,1998-04-14,R,1277000000,Y,Potassium-40
SURFACE WATER,9802099,1,L,9,1000,87,PLATTEVILLE,CO,CS137,,,5.2,PCI/L,1998-04-14,R,30.17,Y,Cesium-137
SURFACE WATER,9800305,.01,L,10,100,87,PLATTEVILLE,CO,H3,24,43,140,PCI/L,1998-01-07,R,12.312,Y,Tritium
SURFACE WATER,9702826,1,L,9,1000,87,PLATTEVILLE,CO,K40,,,92,PCI/L,1997-04-14,R,1277000000,Y,Potassium-40
SURFACE WATER,9700248,.01,L,10,100,87,PLATTEVILLE,CO,H3,20,36,120,PCI/L,1997-01-10,R,12.312,Y,Tritium
SURFACE WATER,9602111,1,L,9,1000,87,PLATTEVILLE,CO,CS137,,,6.4,PCI/L,1996-04-03,R,30.17,Y,Cesium-137
SURFACE WATER,9506628,10,ML,10,100,87,PLATTEVILLE,CO,H3,-10,50,,PCI/L,1995-10-04,R,12.312,Y,Tritium
SURFACE WATER,9506628,.5,L,9,1000,87,PLATTEVILLE,CO,K40,,,71,PCI/L,1995-10-04,R,1277000000,Y,Potassium-40
SURFACE WATER,9402642,1,L,9,1000,87,PLATTEVILLE,CO,RA228,,,15,PCI/L,1994-04-13,R,5.75,Y,Radium-228
