V_ERAMS_MATRIX_SAMPLE_ANALYSIS.MAT_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.SAMP_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_SIZE,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_UNIT,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_PROC_NUM,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.DURATION,V_ERAMS_LOCATION.LOC_NUM,V_ERAMS_LOCATION.CITY_NAME,V_ERAMS_LOCATION.STATE_ABBR,V_ERAMS_RESULTS_ANALYTE.ANALYTE_ID,V_ERAMS_RESULTS_ANALYTE.RESULT_AMOUNT,V_ERAMS_RESULTS_ANALYTE.CSU,V_ERAMS_RESULTS_ANALYTE.MDC,V_ERAMS_RESULTS_ANALYTE.RESULT_UNIT,V_ERAMS_RESULTS_ANALYTE.RESULT_DATE,V_ERAMS_RESULTS_ANALYTE.ANA_TYPE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE_TIME_UNIT,V_ERAMS_RESULTS_ANALYTE.ANALYTE_NAME
DRINKING WATER,9210009,.5,L,6,100,49,PITTSBURGH,PA,BETA,1.99,.33,,PCI/L,1993-02-12,R,,,Gross Beta
DRINKING WATER,9210009,2,L,20,100,49,PITTSBURGH,PA,SR90,.12,.12,,PCI/L,1992-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,9210013,1,L,9,1000,40,PROVIDENCE,RI,K40,,,40,PCI/L,1992-07-01,R,1277000000,Y,Potassium-40
DRINKING WATER,9210014,.4,L,6,100,57,BARNWELL,SC,BETA,1.01,.32,,PCI/L,1993-02-12,R,,,Gross Beta
DRINKING WATER,9210015,.5,L,6,100,145,COLUMBIA,SC,BETA,2.11,.33,,PCI/L,1993-02-12,R,,,Gross Beta
DRINKING WATER,9210015,1,L,9,1000,145,COLUMBIA,SC,K40,,,92,PCI/L,1992-07-01,R,1277000000,Y,Potassium-40
DRINKING WATER,9210015,1,L,9,1000,145,COLUMBIA,SC,RA228,,,32,PCI/L,1992-07-01,R,5.75,Y,Radium-228
DRINKING WATER,9210016,2,L,20,100,197,HARTSVILLE,SC,SR90,.059,.068,,PCI/L,1992-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,9210018,1,L,9,1000,99,SENECA,SC,RA228,,,20,PCI/L,1992-07-01,R,5.75,Y,Radium-228
DRINKING WATER,9206112,10,ML,10,100,191,WILMINGTON,NC,H3,300,100,,PCI/L,1992-07-10,R,12.312,Y,Tritium
DRINKING WATER,9208602,10,ML,10,100,77,TAMPA,FL,H3,200,100,,PCI/L,1992-11-03,R,12.312,Y,Tritium
DRINKING WATER,9208602,2,L,11,1000,77,TAMPA,FL,I131,.02,.079,,PCI/L,1992-11-03,R,8.0233,D,Iodine-131
DRINKING WATER,9208605,10,ML,10,100,188,LAWRENCE,MA,H3,100,100,,PCI/L,1992-10-26,R,12.312,Y,Tritium
DRINKING WATER,9208606,10,ML,10,100,189,AUGUSTA,ME,H3,100,100,,PCI/L,1992-11-02,R,12.312,Y,Tritium
DRINKING WATER,9209950,1,L,9,1000,1,MONTGOMERY,AL,CS137,,,4.2,PCI/L,1992-07-01,R,30.17,Y,Cesium-137
DRINKING WATER,9209951,.5,L,3,100,182,MUSCLE SHOALS,AL,ALPHA,.19,.24,,PCI/L,1992-07-01,R,,,Gross Alpha
DRINKING WATER,9209951,1,L,9,1000,182,MUSCLE SHOALS,AL,RA228,,,31,PCI/L,1992-07-01,R,5.75,Y,Radium-228
DRINKING WATER,9209952,2,L,20,100,213,SCOTTSBORO,AL,SR90,.09,.19,,PCI/L,1992-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,9209953,1,L,9,1000,214,DECATUR,AL,CS137,,,4.7,PCI/L,1992-07-01,R,30.17,Y,Cesium-137
DRINKING WATER,9300686,10,ML,10,100,189,AUGUSTA,ME,H3,100,100,,PCI/L,1993-01-28,R,12.312,Y,Tritium
DRINKING WATER,9209955,1,L,9,1000,139,BERKELEY,CA,RA228,,,17,PCI/L,1992-07-01,R,5.75,Y,Radium-228
DRINKING WATER,9209955,.5,L,3,100,139,BERKELEY,CA,ALPHA,.37,.22,,PCI/L,1993-02-02,R,,,Gross Alpha
DRINKING WATER,9209956,.2,L,6,100,48,LOS ANGELES,CA,BETA,5.74,.82,,PCI/L,1992-07-01,R,,,Gross Beta
DRINKING WATER,9209956,1,L,9,1000,48,LOS ANGELES,CA,RA228,,,14,PCI/L,1992-07-01,R,5.75,Y,Radium-228
DRINKING WATER,9209956,2,L,20,100,48,LOS ANGELES,CA,SR90,-.07566,.18,,PCI/L,1992-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,9209957,1,L,9,1000,80,DENVER,CO,K40,,,52,PCI/L,1992-07-01,R,1277000000,Y,Potassium-40
DRINKING WATER,9209958,2,L,20,100,87,PLATTEVILLE,CO,SR90,-.07521,.062,,PCI/L,1992-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,9209960,1,L,9,1000,183,ANCON,PC,CS137,,,4.4,PCI/L,1992-07-01,R,30.17,Y,Cesium-137
DRINKING WATER,9209962,1,L,9,1000,516,DOVER,DE,K40,,,81,PCI/L,1992-07-01,R,1277000000,Y,Potassium-40
DRINKING WATER,9209965,.5,L,6,100,184,BAXLEY,GA,BETA,3.6,.39,,PCI/L,1993-02-03,R,,,Gross Beta
DRINKING WATER,9208234,10,ML,10,100,56,NIAGARA FALLS,NY,H3,200,100,,PCI/L,1992-10-19,R,12.312,Y,Tritium
DRINKING WATER,9210021,1,L,9,1000,105,AUSTIN,TX,CS137,,,4.9,PCI/L,1992-07-01,R,30.17,Y,Cesium-137
DRINKING WATER,9210022,.4,L,3,100,198,DOSWELL,VA,ALPHA,.29,.61,,PCI/L,1993-02-12,R,,,Gross Alpha
DRINKING WATER,9210022,.4,L,6,100,198,DOSWELL,VA,BETA,5.3,.49,,PCI/L,1993-02-12,R,,,Gross Beta
DRINKING WATER,9210023,1,L,9,1000,158,LYNCHBURG,VA,K40,,,62,PCI/L,1992-07-01,R,1277000000,Y,Potassium-40
DRINKING WATER,9210028,1,L,9,1000,495,GENOA CITY,WI,K40,28,20,,PCI/L,1992-07-01,R,1277000000,Y,Potassium-40
DRINKING WATER,9210028,2,L,20,100,495,GENOA CITY,WI,SR90,.038,.089,,PCI/L,1992-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,9210029,.4,L,6,100,199,MADISON,WI,BETA,2.24,.39,,PCI/L,1992-07-01,R,,,Gross Beta
DRINKING WATER,9210029,2,L,22,1000,199,MADISON,WI,U234,1.23,.051,.012,PCI/L,1993-03-26,R,245500,Y,Uranium-234
DRINKING WATER,9210029,1,L,17,1000,199,MADISON,WI,RA226,.795,.014,,PCI/L,1993-04-01,R,1600,Y,Radium-226
DRINKING WATER,9300389,10,ML,10,100,105,AUSTIN,TX,H3,100,100,,PCI/L,1993-01-08,R,12.312,Y,Tritium
DRINKING WATER,9300393,10,ML,10,100,188,LAWRENCE,MA,H3,100,100,,PCI/L,1993-01-11,R,12.312,Y,Tritium
DRINKING WATER,9300401,10,ML,10,100,5,DOTHAN,AL,H3,100,100,,PCI/L,1993-01-14,R,12.312,Y,Tritium
DRINKING WATER,9206162,10,ML,10,100,334,MINNEAPOLIS,MN,H3,200,100,,PCI/L,1992-07-16,R,12.312,Y,Tritium
DRINKING WATER,9206165,10,ML,10,100,194,WARETOWN,NJ,H3,100,100,,PCI/L,1992-07-16,R,12.312,Y,Tritium
DRINKING WATER,9302951,10,ML,10,100,516,DOVER,DE,H3,100,100,,PCI/L,1993-04-05,R,12.312,Y,Tritium
DRINKING WATER,9302677,10,ML,10,100,55,TRENTON,NJ,H3,300,100,,PCI/L,1993-04-02,R,12.312,Y,Tritium
