V_ERAMS_MATRIX_SAMPLE_ANALYSIS.MAT_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.SAMP_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_SIZE,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_UNIT,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_PROC_NUM,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.DURATION,V_ERAMS_LOCATION.LOC_NUM,V_ERAMS_LOCATION.CITY_NAME,V_ERAMS_LOCATION.STATE_ABBR,V_ERAMS_RESULTS_ANALYTE.ANALYTE_ID,V_ERAMS_RESULTS_ANALYTE.RESULT_AMOUNT,V_ERAMS_RESULTS_ANALYTE.CSU,V_ERAMS_RESULTS_ANALYTE.MDC,V_ERAMS_RESULTS_ANALYTE.RESULT_UNIT,V_ERAMS_RESULTS_ANALYTE.RESULT_DATE,V_ERAMS_RESULTS_ANALYTE.ANA_TYPE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE_TIME_UNIT,V_ERAMS_RESULTS_ANALYTE.ANALYTE_NAME
DRINKING WATER,A902716,.2,L,119,100,3979,PHILADELPHIA,PA,BETA,3.05,.86,2.5,PCI/L,2011-07-12,R,,,Gross Beta
DRINKING WATER,A902719,.25,L,119,100,29,COLUMBIA,PA,ALPHA,8,1.5,1.3,PCI/L,2011-07-12,R,,,Gross Alpha
DRINKING WATER,A902719,.25,L,119,100,29,COLUMBIA,PA,BETA,2.43,.73,2.1,PCI/L,2011-07-12,R,,,Gross Beta
DRINKING WATER,A902720,.25,L,119,100,27,HARRISBURG,PA,ALPHA,.48,.79,1.4,PCI/L,2011-07-12,R,,,Gross Alpha
DRINKING WATER,A902752,.5,L,133,1000,3819,WELCH,MN,U234,.081,.024,.036,PCI/L,2011-11-14,R,245500,Y,Uranium-234
DRINKING WATER,A902755,.2,L,119,100,76,GRAND RAPIDS,MI,ALPHA,-.20699,.86,1.5,PCI/L,2011-07-30,R,,,Gross Alpha
DRINKING WATER,A902762,.5,L,133,1000,192,LINCOLN,NE,U235,.155,.034,.047,PCI/L,2011-11-16,R,703800000,Y,Uranium-235
DRINKING WATER,A902731,.1,L,119,100,7,MIAMI,FL,BETA,5.1,1.5,4.2,PCI/L,2011-07-27,R,,,Gross Beta
DRINKING WATER,A902733,.5,L,133,1000,184,BAXLEY,GA,U235,.03,.017,.033,PCI/L,2011-11-14,R,703800000,Y,Uranium-235
DRINKING WATER,A902735,.25,L,119,100,100,JACKSON,MS,BETA,2.41,.65,1.9,PCI/L,2011-07-28,R,,,Gross Beta
DRINKING WATER,A902739,.5,L,119,100,103,JENKINSVILLE,SC,BETA,2.15,.38,1,PCI/L,2011-07-28,R,,,Gross Beta
DRINKING WATER,A902767,.4,L,119,100,80,DENVER,CO,BETA,1.93,.45,1.3,PCI/L,2011-08-16,R,,,Gross Beta
DRINKING WATER,A902771,.4,L,119,100,370,RICHMOND,CA,ALPHA,.22,.42,.72,PCI/L,2011-08-16,R,,,Gross Alpha
DRINKING WATER,A902773,.5,L,133,1000,39,IDAHO FALLS,ID,U234,.623,.063,.031,PCI/L,2011-11-16,R,245500,Y,Uranium-234
DRINKING WATER,A902773,.5,L,133,1000,39,IDAHO FALLS,ID,U238,.362,.047,.031,PCI/L,2011-11-16,R,4468000000,Y,Uranium-238
DRINKING WATER,A902701,.5,L,119,100,24,HARTFORD,CT,ALPHA,.19,.36,.63,PCI/L,2011-07-11,R,,,Gross Alpha
DRINKING WATER,A902701,.5,L,119,100,24,HARTFORD,CT,BETA,1.16,.32,.89,PCI/L,2011-07-11,R,,,Gross Beta
DRINKING WATER,A902709,.25,L,119,100,56,NIAGARA FALLS,NY,BETA,1.36,.62,1.8,PCI/L,2011-07-11,R,,,Gross Beta
DRINKING WATER,A902712,.1,L,119,100,26,CONOWINGO,MD,ALPHA,.5,1.9,3.3,PCI/L,2011-07-11,R,,,Gross Alpha
